DATE,AMVPNO
2005-05-01,41859.0
2005-06-01,41639.0
2005-07-01,40318.0
2005-08-01,42418.0
2005-09-01,44769.0
2005-10-01,43951.0
2005-11-01,40949.0
2005-12-01,42780.0
2006-01-01,42971.0
2006-02-01,41743.0
2006-03-01,43315.0
2006-04-01,41670.0
2006-05-01,43413.0
2006-06-01,43262.0
2006-07-01,38283.0
2006-08-01,41533.0
2006-09-01,39899.0
2006-10-01,40576.0
2006-11-01,40629.0
2006-12-01,44017.0
2007-01-01,40463
2007-02-01,41257
2007-03-01,42356
2007-04-01,41492
2007-05-01,42835
2007-06-01,42035
2007-07-01,43611
2007-08-01,42496
2007-09-01,40551
2007-10-01,40474
2007-11-01,41172
2007-12-01,39739
2008-01-01,40110
2008-02-01,39918
2008-03-01,36867
2008-04-01,37468
2008-05-01,35713
2008-06-01,35792
2008-07-01,33679
2008-08-01,31985
2008-09-01,32075
2008-10-01,30173
2008-11-01,29119
2008-12-01,26450
2009-01-01,24001
2009-02-01,24031
2009-03-01,24068
2009-04-01,23827
2009-05-01,22140
2009-06-01,21440
2009-07-01,22955
2009-08-01,25464
2009-09-01,26475
2009-10-01,27312
2009-11-01,28681
2009-12-01,30149
2010-01-01,31691
2010-02-01,28285
2010-03-01,30067
2010-04-01,31253
2010-05-01,32452
2010-06-01,33650
2010-07-01,35360
2010-08-01,35515
2010-09-01,36640
2010-10-01,36208
2010-11-01,34865
2010-12-01,36395
2011-01-01,36442
2011-02-01,36509
2011-03-01,39375
2011-04-01,35680
2011-05-01,36018
2011-06-01,36020
2011-07-01,38840
2011-08-01,36834
2011-09-01,36634
2011-10-01,38910
2011-11-01,38299
2011-12-01,39272
2012-01-01,40977.0
2012-02-01,41068.0
2012-03-01,41246.0
2012-04-01,43297.0
2012-05-01,43907.0
2012-06-01,43448.0
2012-07-01,43233.0
2012-08-01,42229.0
2012-09-01,41943.0
2012-10-01,42072.0
2012-11-01,43232.0
2012-12-01,43454.0
2013-01-01,43413.0
2013-02-01,45365.0
2013-03-01,44334.0
2013-04-01,45940.0
2013-05-01,45248.0
2013-06-01,45562.0
2013-07-01,43324.0
2013-08-01,45517.0
2013-09-01,45597.0
2013-10-01,47154.0
2013-11-01,48876.0
2013-12-01,45655.0
2014-01-01,45810.0
2014-02-01,48915.0
2014-03-01,49107.0
2014-04-01,48460.0
2014-05-01,50560.0
2014-06-01,49521.0
2014-07-01,53552.0
2014-08-01,50351.0
2014-09-01,50457.0
2014-10-01,51365.0
2014-11-01,51068.0
2014-12-01,52610.0
2015-01-01,50697.0
2015-02-01,50290.0
2015-03-01,54156.0
2015-04-01,53432.0
2015-05-01,53476.0
2015-06-01,53724.0
2015-07-01,55222.0
2015-08-01,54296.0
2015-09-01,54692.0
2015-10-01,53745.0
2015-11-01,54500.0
2015-12-01,53721.0
2016-01-01,53940.0
2016-02-01,54912.0
2016-03-01,53328.0
2016-04-01,54256.0
2016-05-01,52785.0
2016-06-01,53031.0
2016-07-01,52820.0
2016-08-01,53572.0
2016-09-01,53767.0
2016-10-01,52423.0
2016-11-01,52420.0
2016-12-01,53442.0
2017-01-01,54069.0
2017-02-01,53027.0
2017-03-01,52519.0
2017-04-01,52562.0
2017-05-01,54309.0
2017-06-01,53146.0
2017-07-01,51218.0
2017-08-01,52706.0
2017-09-01,52666.0
2017-10-01,53369.0
2017-11-01,53810.0
2017-12-01,52911.0
2018-01-01,53825.0
2018-02-01,55037.0
2018-03-01,54544.0
2018-04-01,57055.0
2018-05-01,53561.0
2018-06-01,55075.0
2018-07-01,56209.0
2018-08-01,56002.0
2018-09-01,56839.0
2018-10-01,57246.0
2018-11-01,56470.0
2018-12-01,56527.0
2019-01-01,56408.0
2019-02-01,56568.0
2019-03-01,56288.0
2019-04-01,55242.0
2019-05-01,55294.0
2019-06-01,56198.0
2019-07-01,55066.0
2019-08-01,54654.0
2019-09-01,53395.0
2019-10-01,52049.0
2019-11-01,51951.0
2019-12-01,51408.0
2020-01-01,51986.0
2020-02-01,54114.0
2020-03-01,42241.0
2020-04-01,18900.0
2020-05-01,24561.0
2020-06-01,47601.0
2020-07-01,57252.0
2020-08-01,55101.0
2020-09-01,55748.0
2020-10-01,54217.0
2020-11-01,55157.0
2020-12-01,55625.0
2021-01-01,56222.0
2021-02-01,52452.0
2021-03-01,53034.0
2021-04-01,49273.0
2021-05-01,50424.0
2021-06-01,50306.0
2021-07-01,54151.0
2021-08-01,52557.0
2021-09-01,50056.0
2021-10-01,53761.0
2021-11-01,54416.0
2021-12-01,55422.0
2022-01-01,55473.0
2022-02-01,55890.0
2022-03-01,58321.0
2022-04-01,58683.0
2022-05-01,58450.0
2022-06-01,58719.0
2022-07-01,59119.0
2022-08-01,59359.0
2022-09-01,60163.0
2022-10-01,60934.0
2022-11-01,61101.0
2022-12-01,61434.0
2023-01-01,62204.0
2023-02-01,62053.0
2023-03-01,61561.0
2023-04-01,61398.0
2023-05-01,62219.0
2023-06-01,62208.0
2023-07-01,62896.0
2023-08-01,62915.0
2023-09-01,62182.0
2023-10-01,58466.0
2023-11-01,60549.0
2023-12-01,60769.0
2024-01-01,61053.0
2024-02-01,61815.0
2024-03-01,63531.0
2024-04-01,64455.0
2024-05-01,64445.0
2024-06-01,63941.0
2024-07-01,61670.0
2024-08-01,61696.0
